date,from_currency,to_currency,rate
2026-04-01,USD,JPY,157.173443
2026-04-01,PHP,USD,0.0175219267
2026-04-01,IDR,USD,6.15393e-05
2026-04-01,VND,USD,3.94435e-05
2026-04-01,EUR,USD,1.0781036855
2026-04-01,ZAR,USD,0.0548979298
2026-04-01,INR,USD,0.0116930678
2026-04-02,USD,JPY,156.946845
2026-04-02,PHP,USD,0.0175254145
2026-04-02,IDR,USD,6.15602e-05
2026-04-02,VND,USD,3.94194e-05
2026-04-02,EUR,USD,1.0813366251
2026-04-02,ZAR,USD,0.055148116
2026-04-02,INR,USD,0.0117090554
2026-04-03,USD,JPY,156.797577
2026-04-03,PHP,USD,0.017483596
2026-04-03,IDR,USD,6.14866e-05
2026-04-03,VND,USD,3.95545e-05
2026-04-03,EUR,USD,1.0810645256
2026-04-03,ZAR,USD,0.0551484055
2026-04-03,INR,USD,0.0117374514
2026-04-06,USD,JPY,156.277118
2026-04-06,PHP,USD,0.0175561102
2026-04-06,IDR,USD,6.16561e-05
2026-04-06,VND,USD,3.96456e-05
2026-04-06,EUR,USD,1.0824271741
2026-04-06,ZAR,USD,0.055270262
2026-04-06,INR,USD,0.0117418046
2026-04-07,USD,JPY,156.35265
2026-04-07,PHP,USD,0.0175019132
2026-04-07,IDR,USD,6.17711e-05
2026-04-07,VND,USD,3.96271e-05
2026-04-07,EUR,USD,1.0884487163
2026-04-07,ZAR,USD,0.0552756923
2026-04-07,INR,USD,0.0117332281
2026-04-08,USD,JPY,156.521628
2026-04-08,PHP,USD,0.0175434737
2026-04-08,IDR,USD,6.17859e-05
2026-04-08,VND,USD,3.96682e-05
2026-04-08,EUR,USD,1.0818763036
2026-04-08,ZAR,USD,0.0552996048
2026-04-08,INR,USD,0.0117561271
2026-04-09,USD,JPY,155.966243
2026-04-09,PHP,USD,0.0175870972
2026-04-09,IDR,USD,6.15419e-05
2026-04-09,VND,USD,3.96482e-05
2026-04-09,EUR,USD,1.0852276484
2026-04-09,ZAR,USD,0.0553203165
2026-04-09,INR,USD,0.0117519604
2026-04-10,USD,JPY,156.06292
2026-04-10,PHP,USD,0.0175969579
2026-04-10,IDR,USD,6.196e-05
2026-04-10,VND,USD,3.97278e-05
2026-04-10,EUR,USD,1.0837092064
2026-04-10,ZAR,USD,0.0552773305
2026-04-10,INR,USD,0.0117548715
2026-04-13,USD,JPY,155.526737
2026-04-13,PHP,USD,0.0176036157
2026-04-13,IDR,USD,6.1823e-05
2026-04-13,VND,USD,3.98052e-05
2026-04-13,EUR,USD,1.0872473455
2026-04-13,ZAR,USD,0.0554793453
2026-04-13,INR,USD,0.0117684585
2026-04-14,USD,JPY,156.194187
2026-04-14,PHP,USD,0.017608764
2026-04-14,IDR,USD,6.18382e-05
2026-04-14,VND,USD,3.96482e-05
2026-04-14,EUR,USD,1.0843480988
2026-04-14,ZAR,USD,0.0555013998
2026-04-14,INR,USD,0.0117640111
2026-04-15,USD,JPY,155.784547
2026-04-15,PHP,USD,0.0175760166
2026-04-15,IDR,USD,6.18493e-05
2026-04-15,VND,USD,3.97497e-05
2026-04-15,EUR,USD,1.0895111647
2026-04-15,ZAR,USD,0.0553580096
2026-04-15,INR,USD,0.0117525814
2026-04-16,USD,JPY,155.942045
2026-04-16,PHP,USD,0.0176238432
2026-04-16,IDR,USD,6.18537e-05
2026-04-16,VND,USD,3.97194e-05
2026-04-16,EUR,USD,1.0857472078
2026-04-16,ZAR,USD,0.055354382
2026-04-16,INR,USD,0.0117728374
2026-04-17,USD,JPY,156.292845
2026-04-17,PHP,USD,0.0176288806
2026-04-17,IDR,USD,6.18338e-05
2026-04-17,VND,USD,3.97125e-05
2026-04-17,EUR,USD,1.085864495
2026-04-17,ZAR,USD,0.0552497122
2026-04-17,INR,USD,0.0117647348
2026-04-20,USD,JPY,155.957003
2026-04-20,PHP,USD,0.0176162401
2026-04-20,IDR,USD,6.18519e-05
2026-04-20,VND,USD,3.96501e-05
2026-04-20,EUR,USD,1.0850296865
2026-04-20,ZAR,USD,0.0552086735
2026-04-20,INR,USD,0.0117514766
2026-04-21,USD,JPY,156.306963
2026-04-21,PHP,USD,0.0175678739
2026-04-21,IDR,USD,6.16886e-05
2026-04-21,VND,USD,3.97596e-05
2026-04-21,EUR,USD,1.0850278539
2026-04-21,ZAR,USD,0.0551796003
2026-04-21,INR,USD,0.0117539334
2026-04-22,USD,JPY,156.454337
2026-04-22,PHP,USD,0.0175943456
2026-04-22,IDR,USD,6.16959e-05
2026-04-22,VND,USD,3.9692e-05
2026-04-22,EUR,USD,1.0860426455
2026-04-22,ZAR,USD,0.0553262338
2026-04-22,INR,USD,0.0117461999
2026-04-23,USD,JPY,156.320325
2026-04-23,PHP,USD,0.0175722149
2026-04-23,IDR,USD,6.19667e-05
2026-04-23,VND,USD,3.96604e-05
2026-04-23,EUR,USD,1.0815445108
2026-04-23,ZAR,USD,0.0552120671
2026-04-23,INR,USD,0.0117673469
2026-04-24,USD,JPY,156.519717
2026-04-24,PHP,USD,0.0175862882
2026-04-24,IDR,USD,6.1875e-05
2026-04-24,VND,USD,3.9616e-05
2026-04-24,EUR,USD,1.0844263598
2026-04-24,ZAR,USD,0.0551252377
2026-04-24,INR,USD,0.0117656218
2026-04-27,USD,JPY,156.581012
2026-04-27,PHP,USD,0.0175208442
2026-04-27,IDR,USD,6.15738e-05
2026-04-27,VND,USD,3.94663e-05
2026-04-27,EUR,USD,1.0812691707
2026-04-27,ZAR,USD,0.0549886635
2026-04-27,INR,USD,0.0116936693
2026-04-28,USD,JPY,156.866587
2026-04-28,PHP,USD,0.0174855824
2026-04-28,IDR,USD,6.15008e-05
