order_id,merchant_id,route_id,processor,created_at,completed_at,order_type,status,amount,currency,amount_usd,customer_id,customer_country,payment_method,decline_reason
5100001,NOVA-FX,KRTX-03,KRTX,2026-04-01 16:38:16,2026-04-01 16:39:23,SALE,APPROVED,2320.41,PHP,40.6,CU-106677,PH,CARD,
5100002,NOVA-FX,KRTX-03,KRTX,2026-04-01 21:26:47,2026-04-01 21:27:35,SALE,APPROVED,2127708.0,JPY,,CU-848923,JP,CARD,
5100003,NOVA-FX,,,2026-04-01 00:17:28,2026-04-01 00:18:03,SALE,FILTERED,14135.0,JPY,90.1,CU-978938,JP,CARD,blocked_pre_routing
5100004,NOVA-FX,SORVA-14,SORVA,2026-04-01 22:16:46,2026-04-01 22:18:42,SALE,APPROVED,18598.0,JPY,118.42,CU-768122,JP,CARD,
5100005,NOVA-FX,SORVA-22,SORVA,2026-04-01 08:52:30,2026-04-01 08:53:41,SALE,approved,20676.33,PHP,363.4,CU-391357,PH,EWALLET,
5100006,NOVA-FX,SORVA-14,SORVA,2026-04-01 06:05:27,2026-04-01 06:05:52,SALE,APPROVED,65701.0,JPY,418.87,CU-682665,JP,CARD,
5100007,NOVA-FX,KRTX-11,KRTX,2026-04-01 13:24:57,2026-04-01 13:25:06,SALE,APPROVED,8312.67,PHP,145.4,CU-564245,PH,BANK_TRANSFER,
5100008,NOVA-FX,SORVA-22,SORVA,2026-04-01 15:52:45,2026-04-01 15:53:51,SALE,approved,66694.09,PHP,1165.97,CU-435270,PH,EWALLET,
5100009,NOVA-FX,,,2026-04-01 06:14:31,2026-04-01 06:15:26,SALE,FILTERED,1467.21,PHP,25.67,CU-124060,PH,CARD,blocked_pre_routing
5100010,NOVA-FX,KRTX-03,KRTX,2026-04-01 19:00:20,2026-04-01 19:00:39,SALE,APPROVED,2434.1,PHP,42.49,CU-613499,PH,CARD,
5100011,NOVA-FX,KRTX-11,KRTX,2026-04-01 09:14:50,2026-04-01 09:15:58,SALE,APPROVED,4378.5,PHP,,CU-631524,PH,BANK_TRANSFER,
5100012,NOVA-FX,KRTX-03,KRTX,2026-04-01 04:07:54,2026-04-01 04:08:29,SALE,APPROVED,39389.0,JPY,,CU-816549,JP,CARD,
5100013,NOVA-FX,SORVA-14,SORVA,2026-04-01 08:37:43,2026-04-01 08:38:25,SALE,APPROVED,343205.0,jpy,2187.1,CU-168843,JP,CARD,
5100014,NOVA-FX,KRTX-11,KRTX,2026-04-01 13:05:36,2026-04-01 13:07:36,SALE,APPROVED,11930.82,PHP,208.5,CU-644264,PH,BANK_TRANSFER,
5100015,NOVA-FX,SORVA-22,SORVA,2026-04-01 20:21:21,2026-04-01 20:22:10,SALE,APPROVED,16963.71,PHP,296.17,CU-665255,PH,EWALLET,
5100016,NOVA-FX,KRTX-03,KRTX,2026-04-01 08:09:58,2026-04-01 08:10:16,SALE,FILTERED,5149.89,PHP,90.08,CU-379174,PHL,CARD,risk_blocked
5100017,NOVA-FX,SORVA-14,SORVA,2026-04-01 11:56:29,2026-04-01 11:57:04,SALE,APPROVED,33389.0,JPY,213.07,CU-398917,JP,CARD,
5100018,NOVA-FX,SORVA-14,SORVA,2026-04-01 17:32:44,2026-04-01 17:34:35,SALE,APPROVED,17.57,USD,17.57,CU-590789,US,CARD,
5100019,NOVA-FX,SORVA-22,SORVA,2026-04-01 00:15:51,2026-04-01 00:19:51,SALE,APPROVED,2616.41,PHP,45.84,CU-349361,PH,EWALLET,
5100020,NOVA-FX,SORVA-22,SORVA,2026-04-01 22:36:09,2026-04-01 22:36:51,SALE,APPROVED,2461.9,PHP,43.16,CU-187859,PH,EWALLET,
5100021,NOVA-FX,SORVA-14,SORVA,2026-04-01 17:02:27,2026-04-01 17:02:52,SALE,APPROVED,1341029.0,JPY,8531.75,CU-407809,JP,CARD,
5100022,NOVA-FX,KRTX-03,KRTX,2026-04-01 00:39:41,2026-04-01 00:41:06,SALE,APPROVED,3189.0,JPY,20.3,CU-336441,JP,CARD,
5100023,NOVA-FX,SORVA-14,SORVA,2026-04-01 01:25:08,2026-04-01 01:25:24,SALE,APPROVED,227.98,USD,227.98,CU-171553,US,CARD,
5100024,NOVA-FX,SORVA-14,SORVA,2026-04-01 03:13:53,2026-04-01 03:14:58,SALE,APPROVED,132660.0,JPY,847.01,CU-359214,JP,CARD,
5100025,NOVA-FX,KRTX-03,KRTX,2026-04-01 09:52:44,2026-04-01 09:52:59,SALE,APPROVED,6154.1,PHP,107.83,CU-994786,PH,CARD,
5100026,NOVA-FX,SORVA-14,SORVA,2026-04-01 21:23:56,2026-04-01 21:24:52,SALE,APPROVED,403.01,USD,403.01,CU-816027,US,CARD,
5100027,NOVA-FX,KRTX-11,KRTX,2026-04-01 16:35:56,2026-04-01 16:36:23,SALE,APPROVED,3797.46,PHP,66.24,CU-514806,PH,BANK_TRANSFER,
5100028,NOVA-FX,KRTX-03,KRTX,2026-04-01 09:38:03,2026-04-01 09:39:25,SALE,APPROVED,8443.64,PHP,147.92,CU-378712,PHL,CARD,
